Date,Ozone AQI Value,Site Name,Site ID,Source
1/1/1999,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/2/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/3/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/4/1999,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/5/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/6/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/7/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/8/1999,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/9/1999,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/10/1999,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/11/1999,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/12/1999,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/13/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/14/1999,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/15/1999,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/16/1999,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/17/1999,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/18/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/19/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/20/1999,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/21/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/22/1999,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/23/1999,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/24/1999,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/25/1999,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/26/1999,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/27/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/28/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/29/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/30/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/31/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/1/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/2/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/3/1999,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/4/1999,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/5/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/6/1999,37,Redding - Health Department,06-089-0004,AQS
2/7/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/8/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/9/1999,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/10/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/11/1999,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/12/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/13/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/14/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/15/1999,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/16/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/17/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/18/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/19/1999,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/20/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/21/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/22/1999,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/23/1999,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/24/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/25/1999,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/26/1999,43,Redding - Health Department,06-089-0004,AQS
2/27/1999,39,Redding - Health Department,06-089-0004,AQS
2/28/1999,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/1/1999,32,Redding - Health Department,06-089-0004,AQS
3/2/1999,32,Redding - Health Department,06-089-0004,AQS
3/3/1999,32,Redding - Health Department,06-089-0004,AQS
3/4/1999,34,Anderson - North Street,06-089-0007,AQS
3/5/1999,38,Redding - Health Department,06-089-0004,AQS
3/6/1999,37,Redding - Health Department,06-089-0004,AQS
3/7/1999,40,Redding - Health Department,06-089-0004,AQS
3/8/1999,31,Redding - Health Department,06-089-0004,AQS
3/9/1999,35,Redding - Health Department,06-089-0004,AQS
3/10/1999,34,Redding - Health Department,06-089-0004,AQS
3/11/1999,43,Redding - Health Department,06-089-0004,AQS
3/12/1999,31,Redding - Health Department,06-089-0004,AQS
3/13/1999,44,Anderson - North Street,06-089-0007,AQS
3/14/1999,30,Anderson - North Street,06-089-0007,AQS
3/15/1999,39,Anderson - North Street,06-089-0007,AQS
3/16/1999,34,Anderson - North Street,06-089-0007,AQS
3/17/1999,33,Redding - Health Department,06-089-0004,AQS
3/18/1999,33,Anderson - North Street,06-089-0007,AQS
3/19/1999,37,Redding - Health Department,06-089-0004,AQS
3/20/1999,44,Redding - Health Department,06-089-0004,AQS
3/21/1999,25,Anderson - North Street,06-089-0007,AQS
3/22/1999,28,Anderson - North Street,06-089-0007,AQS
3/23/1999,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/24/1999,25,Redding - Health Department,06-089-0004,AQS
3/25/1999,23,Redding - Health Department,06-089-0004,AQS
3/26/1999,42,Redding - Health Department,06-089-0004,AQS
3/27/1999,46,Redding - Health Department,06-089-0004,AQS
3/28/1999,43,Redding - Health Department,06-089-0004,AQS
3/29/1999,37,Anderson - North Street,06-089-0007,AQS
3/30/1999,37,Redding - Health Department,06-089-0004,AQS
3/31/1999,32,Redding - Health Department,06-089-0004,AQS
4/1/1999,71,Redding - Health Department,06-089-0004,AQS
4/2/1999,87,Redding - Health Department,06-089-0004,AQS
4/3/1999,77,Redding - Health Department,06-089-0004,AQS
4/4/1999,84,Redding - Health Department,06-089-0004,AQS
4/5/1999,51,Redding - Health Department,06-089-0004,AQS
4/6/1999,71,Redding - Health Department,06-089-0004,AQS
4/7/1999,64,Redding - Health Department,06-089-0004,AQS
4/8/1999,64,Redding - Health Department,06-089-0004,AQS
4/9/1999,74,Redding - Health Department,06-089-0004,AQS
