Date,PM2.5 AQI Value,Site Name,Site ID,Source
1/6/1999,97,Redding - Health Department,06-089-0004,AQS
1/7/1999,97,Redding - Health Department,06-089-0004,AQS
1/8/1999,97,Redding - Health Department,06-089-0004,AQS
1/9/1999,97,Redding - Health Department,06-089-0004,AQS
1/10/1999,97,Redding - Health Department,06-089-0004,AQS
1/11/1999,97,Redding - Health Department,06-089-0004,AQS
1/12/1999,107,Redding - Health Department,06-089-0004,AQS
1/13/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/14/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/15/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/16/1999,5,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/17/1999,5,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/18/1999,21,Redding - Health Department,06-089-0004,AQS
1/19/1999,21,Redding - Health Department,06-089-0004,AQS
1/20/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/21/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/22/1999,4,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/23/1999,0,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/24/1999,17,Redding - Health Department,06-089-0004,AQS
1/25/1999,17,Redding - Health Department,06-089-0004,AQS
1/26/1999,17,Redding - Health Department,06-089-0004,AQS
1/27/1999,3,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/28/1999,3,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/29/1999,3,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/30/1999,112,Redding - Health Department,06-089-0004,AQS
1/31/1999,112,Redding - Health Department,06-089-0004,AQS
2/1/1999,112,Redding - Health Department,06-089-0004,AQS
2/2/1999,112,Redding - Health Department,06-089-0004,AQS
2/3/1999,112,Redding - Health Department,06-089-0004,AQS
2/4/1999,112,Redding - Health Department,06-089-0004,AQS
2/5/1999,29,Redding - Health Department,06-089-0004,AQS
2/6/1999,29,Redding - Health Department,06-089-0004,AQS
2/7/1999,29,Redding - Health Department,06-089-0004,AQS
2/8/1999,29,Redding - Health Department,06-089-0004,AQS
2/9/1999,29,Redding - Health Department,06-089-0004,AQS
2/10/1999,38,Redding - Health Department,06-089-0004,AQS
2/11/1999,38,Redding - Health Department,06-089-0004,AQS
2/12/1999,38,Redding - Health Department,06-089-0004,AQS
2/13/1999,38,Redding - Health Department,06-089-0004,AQS
2/14/1999,38,Redding - Health Department,06-089-0004,AQS
2/15/1999,38,Redding - Health Department,06-089-0004,AQS
2/16/1999,38,Redding - Health Department,06-089-0004,AQS
2/17/1999,46,Redding - Health Department,06-089-0004,AQS
2/18/1999,46,Redding - Health Department,06-089-0004,AQS
2/19/1999,46,Redding - Health Department,06-089-0004,AQS
2/20/1999,3,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/21/1999,3,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
