"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1999","34","","Not Available","06-037-6002","AQS"
"01/02/1999","32","","Azusa","06-037-0002","AQS"
"01/03/1999","37","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/04/1999","28","","Azusa","06-037-0002","AQS"
"01/05/1999","28","","Azusa","06-037-0002","AQS"
"01/06/1999","17","","Not Available","06-037-6002","AQS"
"01/07/1999","30","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/08/1999","35","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/09/1999","33","","Reseda","06-037-1201","AQS"
"01/10/1999","26","","Not Available","06-037-6002","AQS"
"01/11/1999","32","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/12/1999","37","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/13/1999","28","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/14/1999","29","","Azusa","06-037-0002","AQS"
"01/15/1999","32","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/16/1999","36","","El Toro","06-059-2001","AQS"
"01/17/1999","40","","Hawthorne","06-037-5001","AQS"
"01/18/1999","25","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"01/19/1999","22","","Costa Mesa","06-059-1003","AQS"
"01/20/1999","25","","Hawthorne","06-037-5001","AQS"
"01/21/1999","32","","Not Available","06-037-6002","AQS"
"01/22/1999","24","","Reseda","06-037-1201","AQS"
"01/23/1999","23","","Costa Mesa","06-059-1003","AQS"
"01/24/1999","36","","Hawthorne","06-037-5001","AQS"
"01/25/1999","31","","Hawthorne","06-037-5001","AQS"
"01/26/1999","36","","Hawthorne","06-037-5001","AQS"
"01/27/1999","34","","El Toro","06-059-2001","AQS"
"01/28/1999","31","","Not Available","06-037-6002","AQS"
"01/29/1999","25","","Azusa","06-037-0002","AQS"
"01/30/1999","33","","El Toro","06-059-2001","AQS"
"01/31/1999","41","","Hawthorne","06-037-5001","AQS"
"02/01/1999","32","","Glendora","06-037-0016","AQS"
"02/02/1999","31","","Glendora","06-037-0016","AQS"
"02/03/1999","24","","Glendora","06-037-0016","AQS"
"02/04/1999","33","","El Toro","06-059-2001","AQS"
"02/05/1999","30","","El Toro","06-059-2001","AQS"
"02/06/1999","37","","Hawthorne","06-037-5001","AQS"
"02/07/1999","29","","Hawthorne","06-037-5001","AQS"
"02/08/1999","20","","Hawthorne","06-037-5001","AQS"
"02/09/1999","37","","Not Available","06-037-6002","AQS"
"02/10/1999","37","","Not Available","06-037-6002","AQS"
"02/11/1999","41","","Not Available","06-037-6002","AQS"
