"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/03/1999","117","","Lynwood","06-037-1301","AQS"
"01/04/1999","90","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/05/1999","73","","Long Beach (North)","06-037-4002","AQS"
"01/06/1999","157","","Lynwood","06-037-1301","AQS"
"01/07/1999","157","","Azusa","06-037-0002","AQS"
"01/08/1999","128","","Azusa","06-037-0002","AQS"
"01/09/1999","81","","Long Beach (North)","06-037-4002","AQS"
"01/10/1999","110","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/11/1999","88","","Long Beach (North)","06-037-4002","AQS"
"01/12/1999","117","","Lynwood","06-037-1301","AQS"
"01/13/1999","157","","Long Beach (North)","06-037-4002","AQS"
"01/14/1999","123","","Long Beach (North)","06-037-4002","AQS"
"01/15/1999","108","","Not Available","06-037-1601","AQS"
"01/16/1999","132","","Azusa","06-037-0002","AQS"
"01/17/1999","155","","Azusa","06-037-0002","AQS"
"01/18/1999","164","","Azusa","06-037-0002","AQS"
"01/19/1999","87","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/20/1999","75","","Azusa","06-037-0002","AQS"
"01/21/1999","58","","Azusa","06-037-0002","AQS"
"01/22/1999","83","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/23/1999","101","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/24/1999","88","","Azusa","06-037-0002","AQS"
"01/25/1999","49","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/26/1999","53","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/27/1999","66","","Not Available","06-037-1601","AQS"
"01/28/1999","83","","Long Beach (North)","06-037-4002","AQS"
"01/29/1999","102","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/30/1999","133","","Burbank","06-037-1002","AQS"
"01/31/1999","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/01/1999","90","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/02/1999","80","","Not Available","06-037-1601","AQS"
"02/03/1999","115","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/04/1999","85","","Azusa","06-037-0002","AQS"
"02/05/1999","75","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/06/1999","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/07/1999","78","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/08/1999","74","","Azusa","06-037-0002","AQS"
"02/09/1999","66","","Azusa","06-037-0002","AQS"
"02/10/1999","45","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/11/1999","86","","Lynwood","06-037-1301","AQS"
"02/12/1999","67","","Long Beach (North)","06-037-4002","AQS"
"02/13/1999","100","","Long Beach (North)","06-037-4002","AQS"
"02/14/1999","98","","Not Available","06-037-1601","AQS"
"02/15/1999","79","","Azusa","06-037-0002","AQS"
"02/16/1999","114","","Azusa","06-037-0002","AQS"
"02/17/1999","154","","Azusa","06-037-0002","AQS"
"02/18/1999","155","","Azusa","06-037-0002","AQS"
