"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1999","37","","Clovis-Villa","06-019-5001","AQS"
"01/02/1999","31","","Fresno-Sky Park","06-019-0242","AQS"
"01/03/1999","28","","Clovis-Villa","06-019-5001","AQS"
"01/04/1999","14","","Clovis-Villa","06-019-5001","AQS"
"01/05/1999","13","","Fresno-Sky Park","06-019-0242","AQS"
"01/06/1999","13","","Fresno-Sky Park","06-019-0242","AQS"
"01/07/1999","24","","Fresno-Sky Park","06-019-0242","AQS"
"01/08/1999","18","","Fresno-Sky Park","06-019-0242","AQS"
"01/09/1999","17","","Clovis-Villa","06-019-5001","AQS"
"01/10/1999","20","","Clovis-Villa","06-019-5001","AQS"
"01/11/1999","14","","Fresno-Sky Park","06-019-0242","AQS"
"01/12/1999","15","","Fresno-Sky Park","06-019-0242","AQS"
"01/13/1999","25","","Fresno-Sky Park","06-019-0242","AQS"
"01/14/1999","26","","Fresno-Sky Park","06-019-0242","AQS"
"01/15/1999","31","","Parlier","06-019-4001","AQS"
"01/16/1999","40","","Fresno-Sky Park","06-019-0242","AQS"
"01/17/1999","43","","Fresno-Sky Park","06-019-0242","AQS"
"01/18/1999","27","","Fresno-Sky Park","06-019-0242","AQS"
"01/19/1999","29","","Clovis-Villa","06-019-5001","AQS"
"01/20/1999","31","","Clovis-Villa","06-019-5001","AQS"
"01/21/1999","42","","Fresno-Sky Park","06-019-0242","AQS"
"01/22/1999","35","","Parlier","06-019-4001","AQS"
"01/23/1999","39","","Fresno-Sky Park","06-019-0242","AQS"
"01/24/1999","32","","Fresno-Sky Park","06-019-0242","AQS"
"01/25/1999","39","","Clovis-Villa","06-019-5001","AQS"
"01/26/1999","37","","Clovis-Villa","06-019-5001","AQS"
"01/27/1999","24","","Clovis-Villa","06-019-5001","AQS"
"01/28/1999","31","","Clovis-Villa","06-019-5001","AQS"
"01/29/1999","31","","Clovis-Villa","06-019-5001","AQS"
"01/30/1999","33","","Fresno-Sky Park","06-019-0242","AQS"
"01/31/1999","44","","Fresno-Sky Park","06-019-0242","AQS"
"02/01/1999","31","","Fresno-Sky Park","06-019-0242","AQS"
"02/02/1999","31","","Fresno-Sky Park","06-019-0242","AQS"
"02/03/1999","39","","Parlier","06-019-4001","AQS"
"02/04/1999","32","","Fresno-Sky Park","06-019-0242","AQS"
"02/05/1999","34","","Fresno-Sky Park","06-019-0242","AQS"
"02/06/1999","39","","Clovis-Villa","06-019-5001","AQS"
"02/07/1999","39","","Fresno-Sky Park","06-019-0242","AQS"
"02/08/1999","30","","Clovis-Villa","06-019-5001","AQS"
"02/09/1999","45","","Fresno-Sky Park","06-019-0242","AQS"
"02/10/1999","35","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/11/1999","37","","Clovis-Villa","06-019-5001","AQS"
"02/12/1999","31","","Parlier","06-019-4001","AQS"
"02/13/1999","31","","Clovis-Villa","06-019-5001","AQS"
"02/14/1999","38","","Clovis-Villa","06-019-5001","AQS"
"02/15/1999","36","","Clovis-Villa","06-019-5001","AQS"
"02/16/1999","40","","Parlier","06-019-4001","AQS"
"02/17/1999","41","","Clovis-Villa","06-019-5001","AQS"
"02/18/1999","42","","Fresno-Sky Park","06-019-0242","AQS"
"02/19/1999","32","","Fresno-Sky Park","06-019-0242","AQS"
"02/20/1999","40","","Clovis-Villa","06-019-5001","AQS"
"02/21/1999","49","","Fresno-Sky Park","06-019-0242","AQS"
"02/22/1999","44","","Fresno-Sky Park","06-019-0242","AQS"
"02/23/1999","38","","Parlier","06-019-4001","AQS"
"02/24/1999","46","","Parlier","06-019-4001","AQS"
"02/25/1999","50","","Fresno-Sky Park","06-019-0242","AQS"
"02/26/1999","46","","Fresno-Sky Park","06-019-0242","AQS"
"02/27/1999","45","","Fresno-Sky Park","06-019-0242","AQS"
"02/28/1999","61","","Fresno-Sky Park","06-019-0242","AQS"
"03/01/1999","45","","Fresno-Sky Park","06-019-0242","AQS"
"03/02/1999","49","","Fresno-Sky Park","06-019-0242","AQS"
"03/03/1999","44","","Fresno-Sky Park","06-019-0242","AQS"
"03/04/1999","49","","Fresno-Sky Park","06-019-0242","AQS"
"03/05/1999","44","","Fresno-Sky Park","06-019-0242","AQS"
"03/06/1999","71","","Parlier","06-019-4001","AQS"
