"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/03/1999","119","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/06/1999","115","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/09/1999","157","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/12/1999","165","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/15/1999","188","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/18/1999","78","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/21/1999","55","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/24/1999","61","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/27/1999","112","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"01/30/1999","144","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/02/1999","129","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/05/1999","153","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/08/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/11/1999","87","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/14/1999","93","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/17/1999","74","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/20/1999","72","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/23/1999","80","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/25/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"02/26/1999","38","","Clovis-Villa","06-019-5001","AQS"
"03/01/1999","50","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/04/1999","42","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/07/1999","55","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/10/1999","38","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/13/1999","72","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/16/1999","57","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/19/1999","53","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/22/1999","38","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/25/1999","25","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"03/28/1999","51","","Clovis-Villa","06-019-5001","AQS"
"03/31/1999","21","","Clovis-Villa","06-019-5001","AQS"
"04/01/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/02/1999","46","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/03/1999","46","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/04/1999","38","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/05/1999","42","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/06/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/07/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/08/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/09/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/10/1999","55","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/11/1999","57","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/12/1999","63","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/13/1999","53","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/14/1999","68","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/15/1999","68","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/16/1999","57","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/17/1999","57","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/18/1999","47","","Clovis-Villa","06-019-5001","AQS"
"04/19/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/20/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/21/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/22/1999","25","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"04/24/1999","38","","Clovis-Villa","06-019-5001","AQS"
"04/30/1999","53","","Clovis-Villa","06-019-5001","AQS"
"05/03/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/04/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/05/1999","46","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/06/1999","59","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/07/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/08/1999","38","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/09/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/10/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/11/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/12/1999","40","","Clovis-Villa","06-019-5001","AQS"
"05/13/1999","42","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/14/1999","29","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/15/1999","25","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/16/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/17/1999","33","","3425 N FIRST ST, FRESNO","06-019-0008","AQS"
"05/18/1999","25","","Clovis-Villa","06-019-5001","AQS"
